PROVINSI,KABUPATEN ATAU KOTA,KECAMATAN,KODE DESA ATAU KELURAHAN,DESA ATAU KELURAHAN,JUMLAH PENDUDUK
JAWA BARAT,BOGOR,CIBINONG,3201011001,PONDOK RAJEG,17037
JAWA BARAT,BOGOR,CIBINONG,3201011002,KARADENAN,34175
JAWA BARAT,BOGOR,CIBINONG,3201011003,HARAPANJAYA,27916
JAWA BARAT,BOGOR,CIBINONG,3201011004,NANGGEWER,34347
JAWA BARAT,BOGOR,CIBINONG,3201011005,NANGGEWER MEKAR,15909
JAWA BARAT,BOGOR,CIBINONG,3201011006,CIBINONG,27573
JAWA BARAT,BOGOR,CIBINONG,3201011007,PAKANSARI,35913
JAWA BARAT,BOGOR,CIBINONG,3201011008,TENGAH,15002
JAWA BARAT,BOGOR,CIBINONG,3201011009,SUKAHATI,29110
JAWA BARAT,BOGOR,CIBINONG,3201011010,CIRIUNG,31194
JAWA BARAT,BOGOR,CIBINONG,3201011011,CIRIMEKAR,13524
JAWA BARAT,BOGOR,CIBINONG,3201011012,PABUARAN,51281
JAWA BARAT,BOGOR,CIBINONG,3201011013,PABUARAN MEKAR,23581
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022001,WANAHERANG,30603
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022002,BOJONG KULUR,35659
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022003,CIANGSANA,31564
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022004,GUNUNG PUTRI,20035
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022005,BOJONG NANGKA,23655
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022006,TLAJUNG UDIK,43966
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022007,CICADAS,40654
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022008,CIKEAS UDIK,21448
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022009,NAGRAK,17009
JAWA BARAT,BOGOR,GUNUNG PUTRI,3201022010,KARANGGAN,23750
JAWA BARAT,BOGOR,CITEUREUP,3201031006,PUSPANEGARA,18440
JAWA BARAT,BOGOR,CITEUREUP,3201031007,KARANG ASEM BARAT,22486
JAWA BARAT,BOGOR,CITEUREUP,3201032001,PUSPASARI,16681
JAWA BARAT,BOGOR,CITEUREUP,3201032002,CITEUREUP,18801
JAWA BARAT,BOGOR,CITEUREUP,3201032003,LEUWINUTUG,17622
JAWA BARAT,BOGOR,CITEUREUP,3201032004,TAJUR,14419
JAWA BARAT,BOGOR,CITEUREUP,3201032005,SANJA,14354
JAWA BARAT,BOGOR,CITEUREUP,3201032008,KARANG ASEM TIMUR,10826
JAWA BARAT,BOGOR,CITEUREUP,3201032009,TARIKOLOT,23171
JAWA BARAT,BOGOR,CITEUREUP,3201032010,GUNUNGSARI,18724
JAWA BARAT,BOGOR,CITEUREUP,3201032011,TANGKIL,1231
