city_region,district,village
KOTA JAKARTA PUSAT,GAMBIR,DURI PULO
KOTA JAKARTA SELATAN,PASAR MINGGU,RAGUNAN
KOTA JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT
KOTA JAKARTA TIMUR,KRAMAT JATI,CILILITAN
KOTA JAKARTA PUSAT,GAMBIR,PETOJO UTARA
KOTA JAKARTA BARAT,CENGKARENG,DURI KOSAMBI
KOTA JAKARTA UTARA,KOJA,LAGOA
BOGOR,CARIU,BABAKAN RADEN
BOGOR,BOJONG GEDE,BOJONG GEDE
BOGOR,PARUNG,PAMAGER SARI
BEKASI,CIKARANG TIMUR,TANJUNGBARU
BEKASI,CIKARANG BARAT,CIKEDOKAN
BEKASI,TAMBUN SELATAN,TRIDAYASAKTI
KOTA BOGOR,BOGOR BARAT,SITUGEDE
KOTA BEKASI,BEKASI TIMUR,DUREN JAYA
KOTA BEKASI,BEKASI TIMUR,AREN JAYA
KOTA DEPOK,LIMO,MERUYUNG
TANGERANG,SUKAMULYA,KALI ASIN
KOTA TANGERANG,KARAWACI,NUSAJAYA
TANGERANG,TELUKNAGA,TELUK NAGA
KOTA TANGERANG SELATAN,PONDOK AREN,PERIGI
KOTA JAKARTA BARAT,TAMBORA,KRENDANG
KOTA JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU
KOTA JAKARTA PUSAT,MENTENG,CIKINI
KOTA JAKARTA BARAT,TAMBORA,ROA MALAKA
KOTA JAKARTA SELATAN,PANCORAN,PANCORAN
KOTA JAKARTA TIMUR,MAKASAR,KEBON PALA
KOTA JAKARTA BARAT,TAMAN SARI,TAMAN SARI
KOTA JAKARTA PUSAT,SENEN,BUNGUR
KOTA JAKARTA PUSAT,JOHAR BARU,JOHAR BARU
KOTA JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA
KOTA JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE
KOTA JAKARTA UTARA,PENJARINGAN,PEJAGALAN
KOTA JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA
KOTA JAKARTA UTARA,CILINCING,KALI BARU
BOGOR,CIAMPEA,TEGAL WARU
BOGOR,SUKARAJA,CADAS NGAMPAR
BOGOR,BOJONG GEDE,RAWA PANJANG
BEKASI,KARANGBAHAGIA,KARANGMUKTI
BEKASI,KEDUNGWARINGIN,KARANGSAMBUNG
BEKASI,KARANGBAHAGIA,SUKARAYA
BEKASI,CIKARANG BARAT,GANDAMEKAR
BEKASI,TARUMAJAYA,SETIAMULYA
KOTA BOGOR,BOGOR UTARA,TEGALGUNDIL
TANGERANG,JAYANTI,DANG DEUR
TANGERANG,KEMIRI,KELEBET
KOTA JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT
KOTA JAKARTA SELATAN,TEBET,KEBON BARU
KOTA JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR
KOTA JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN
KOTA JAKARTA PUSAT,GAMBIR,PETOJO SELATAN
KOTA JAKARTA BARAT,TAMAN SARI,PINANGSIA
KOTA JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR
BOGOR,CARINGIN,PASIR BUNCIR
BOGOR,CIAWI,BANJAR SARI
BOGOR,CILEUNGSI,SETU SARI
BEKASI,SETU,MUKTIJAYA
BEKASI,SERANG BARU,SUKARAGAM
BEKASI,CIKARANG TIMUR,HEGARMANAH
BEKASI,BOJONGMANGU,MEDALKRISNA
BEKASI,CIKARANG UTARA,SIMPANGAN
BEKASI,TAMBUN SELATAN,TAMBUN
BEKASI,TARUMAJAYA,PAHLAWAN SETIA
BEKASI,TAMBUN SELATAN,MANGUNJAYA
BEKASI,TAMBUN UTARA,SATRIAMEKAR
BEKASI,CABANGBUNGIN,LENGGAHSARI
KOTA BOGOR,BOGOR TENGAH,BABAKANPASAR
KOTA BOGOR,BOGOR UTARA,TANAHBARU
KOTA BEKASI,RAWALUMBU,BOJONG MENTENG
KOTA DEPOK,SUKMA JAYA,ABADIJAYA
TANGERANG,CISOKA,BOJONGLOA
TANGERANG,JAMBE,RANCABUAYA
KOTA JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI
KOTA JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN
KOTA JAKARTA SELATAN,CILANDAK,CIPETE SELATAN
KOTA JAKARTA PUSAT,SENEN,PASEBAN
KOTA JAKARTA PUSAT,JOHAR BARU,GALUR
KOTA JAKARTA PUSAT,TANAH ABANG,KEBON MELATI
KOTA JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT
KOTA JAKARTA UTARA,CILINCING,CILINCING
BOGOR,LEUWISADENG,SADENGKOLOT
BOGOR,BABAKAN MADANG,SUMUR BATU
BOGOR,CARIU,KUTA MEKAR
BOGOR,TANJUNGSARI,SINARRASA
BOGOR,CISEENG,CIHOWE
BEKASI,MUARA GEMBONG,PANTAI SEDERHANA
BEKASI,SERANG BARU,CILANGKARA
BEKASI,BOJONGMANGU,BOJONGMANGU
BEKASI,CIKARANG TIMUR,JATIBARU
BEKASI,CIKARANG UTARA,KARANGBARU
BEKASI,TAMBUN SELATAN,LAMBANGJAYA
BEKASI,BABELAN,BABELAN KOTA
BEKASI,SUKAWANGI,SUKARINGIN
BEKASI,TARUMAJAYA,SEGARAJAYA
KOTA BEKASI,BEKASI BARAT,JAKA SAMPURNA
KOTA DEPOK,TAPOS,LEUWINAGGUNG
TANGERANG,LEGOK,BOJONG KAMAL
KOTA JAKARTA BARAT,TAMBORA,DURI SELATAN
KOTA JAKARTA PUSAT,TANAH ABANG,KEBON KACANG
KOTA JAKARTA SELATAN,JAGAKARSA,JAGAKARSA
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA
KOTA JAKARTA SELATAN,KEBAYORAN BARU,PULO
KOTA JAKARTA SELATAN,KEBAYORAN BARU,SELONG
KOTA JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN
KOTA JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH
KOTA JAKARTA BARAT,KEMBANGAN,SRENGSENG
KOTA JAKARTA BARAT,PALMERAH,PALMERAH
KOTA JAKARTA UTARA,CILINCING,SEMPER BARAT
BOGOR,CIAMPEA,BOJONG JENGKOL
BOGOR,CIBUNGBULANG,CIBATOK 1
BOGOR,CIJERUK,TANJUNG SARI
BOGOR,SUKARAJA,GUNUNG GEULIS
BOGOR,KELAPA NUNGGAL,KELAPA NUNGGAL
BEKASI,SETU,TAMAN RAHAYU
BEKASI,TAMBUN SELATAN,SETIADARMA
BEKASI,SUKAWANGI,SUKAMEKAR
BEKASI,PEBAYURAN,KARANGPATRI
KOTA BEKASI,BEKASI SELATAN,KAYURINGIN JAYA
TANGERANG,BALARAJA,SUKA MURNI
TANGERANG,KOSAMBI,SALEMBARAN
KOTA TANGERANG SELATAN,PONDOK AREN,PERIGI BARU
KOTA JAKARTA SELATAN,PESANGGRAHAN,BINTARO
KOTA JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG
KOTA JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA
KOTA JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN
KOTA JAKARTA TIMUR,MAKASAR,PINANG RANTI
KOTA JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN
KOTA JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN
KOTA JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA
KOTA JAKARTA PUSAT,GAMBIR,CIDENG
KOTA JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KESUMA
KOTA JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT
KOTA JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG
KOTA JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT
KOTA JAKARTA UTARA,CILINCING,SEMPER TIMUR
BOGOR,TAMANSARI,TAMAN SARI
BOGOR,PARUNG,BOJONG INDAH
BEKASI,SETU,RAGEMANUNGGAL
BEKASI,CIKARANG PUSAT,PASIRTANJUNG
BEKASI,CIKARANG SELATAN,CIANTRA
BEKASI,CIKARANG SELATAN,SUKADAMI
BEKASI,CIBARUSAH,CIBARUSAHJAYA
BEKASI,CIBARUSAH,SIRNAJATI
BEKASI,CIBARUSAH,RIDOGALIH
BEKASI,CIKARANG UTARA,KARANGRAHARJA
BEKASI,TAMBUN UTARA,SRIMUKTI
BEKASI,TAMBUN UTARA,SRIMAHI
BEKASI,PEBAYURAN,SUMBERREJA
